snapshot_name,timestamp,ssid,bssid,signal_dbm,signal_percent,channel,band,security,backend,frequency_mhz
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,CorpNet,aa:11:22:33:44:02,-63,74,6,2.4 GHz,WPA2/WPA3,demo,2437
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,CorpNet,de:ad:be:ef:12:34,-43,100,11,2.4 GHz,Open,demo,2462
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,GuestNet,aa:11:22:33:55:01,-59,82,1,2.4 GHz,WPA2,demo,2412
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,GuestNet,aa:11:22:33:55:02,-70,60,44,5 GHz,WPA2,demo,5220
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,Printer_Setup,12:34:56:78:90:ab,-67,66,11,2.4 GHz,Open,demo,2462
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,LegacyCam,98:76:54:32:10:fe,-73,54,3,2.4 GHz,WEP,demo,2422
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,Cafe_Free_WiFi,22:33:44:55:66:77,-81,38,6,2.4 GHz,Open,demo,2437
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,NeighborMesh,d0:11:22:aa:bb:cc,-65,70,149,5 GHz,WPA2,demo,5745
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:10,-62,76,157,5 GHz,WPA2/WPA3,demo,5785
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:11,-64,72,161,5 GHz,WPA2/WPA3,demo,5805
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,Warehouse_AP,bb:cc:dd:ee:ff:00,-83,34,11,2.4 GHz,Enterprise,demo,2462
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,CorpNet,aa:11:22:33:44:01,-48,100,36,5 GHz,WPA2/WPA3,demo,5180
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,CorpNet,aa:11:22:33:44:02,-63,74,6,2.4 GHz,WPA2/WPA3,demo,2437
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,CorpNet,de:ad:be:ef:12:34,-41,100,11,2.4 GHz,Open,demo,2462
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,GuestNet,aa:11:22:33:55:01,-58,84,1,2.4 GHz,WPA2,demo,2412
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,GuestNet,aa:11:22:33:55:02,-69,62,44,5 GHz,WPA2,demo,5220
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,Printer_Setup,12:34:56:78:90:ab,-67,66,11,2.4 GHz,Open,demo,2462
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,LegacyCam,98:76:54:32:10:fe,-73,54,3,2.4 GHz,WEP,demo,2422
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,Cafe_Free_WiFi,22:33:44:55:66:77,-80,40,6,2.4 GHz,Open,demo,2437
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,NeighborMesh,d0:11:22:aa:bb:cc,-65,70,149,5 GHz,WPA2,demo,5745
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:10,-62,76,157,5 GHz,WPA2/WPA3,demo,5785
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:11,-64,72,161,5 GHz,WPA2/WPA3,demo,5805
Demo Survey 2026-04-04 09:00,2026-04-04T09:00:00Z,Warehouse_AP,bb:cc:dd:ee:ff:00,-82,36,11,2.4 GHz,Enterprise,demo,2462
